"age","year","Sex","Never","Current","Ex","init","cess","check"
35,2018,"Male",54.253,35.19,10.557,0.0158355609410442,0.00716682139493594,100
35,2018,"Female",97.907,1.495,0.598,0.000726066882885996,0.00840120497922989,100
35,2019,"Male",53.3605456719816,35.8358971613727,10.8035571666456,0.016598589567706,0.00717617046066587,100
35,2019,"Female",97.8533862430254,1.54042090643346,0.606192850541158,0.000746768510949485,0.00840748312836839,100
35,2020,"Male",52.4336341309363,36.513865489132,11.0525003799317,0.0173931775120824,0.00718517999372568,100
35,2020,"Female",97.8012756190003,1.583749435717,0.614974945282689,0.000767489452726566,0.00841336309402131,100
35,2021,"Male",51.4725862618003,37.2234113908615,11.3040023473382,0.0182213332349581,0.00719388355998346,100
35,2021,"Female",97.7507579615717,1.62494133996571,0.62430069846259,0.000788229932118744,0.00841887450113364,100
35,2022,"Male",50.4778108250837,37.9639652285583,11.558223946358,0.0190852383119073,0.00720231216477621,100
35,2022,"Female",97.7019230488518,1.66395542064214,0.634121530506066,0.000808990153734394,0.00842404408835402,100
35,2023,"Male",49.4498087756054,38.7348784353961,11.8153127889985,0.0199872666238775,0.00721049463026397,100
35,2023,"Female",97.6548606210837,1.70075349303563,0.644385885880651,0.000829770305296029,0.00842889605158769,100
36,2018,"Male",54.86595,34.7185,10.41555,0.0154926877689603,0.00717528045420623,100
36,2018,"Female",97.6494,1.679,0.6716,0.000799522519516743,0.00846590998340511,100
36,2019,"Male",53.3524767201832,35.8379938413059,10.8095294385108,0.0162329717846865,0.00718479098348838,100
36,2019,"Female",97.8338861353985,1.55554467732462,0.610569187276911,0.000822396111452234,0.00847230970766145,100
36,2020,"Male",52.4324362289673,36.506519233046,11.0610445379867,0.0170032935279926,0.00719396564779553,100
36,2020,"Female",97.7782848011703,1.60256222788511,0.619152970944605,0.000845295362600631,0.00847830349576208,100
36,2021,"Male",51.4782234107167,37.206599712698,11.3151768765854,0.0178055313113958,0.00720283818959803,100
36,2021,"Female",97.724185726158,1.64750594081874,0.628308333023232,0.000868220534691563,0.00848392152254711,100
36,2022,"Male",50.4902196864636,37.9376833375233,11.5720969760131,0.0186417226881372,0.0072114397904594,100
36,2022,"Female",97.6716785608607,1.69033216318783,0.63798927595145,0.000891171868544208,0.00848919102368817,100
36,2023,"Male",49.4688973615331,38.6991397246849,11.831962913782,0.0195140818462333,0.00721979944821453,100
36,2023,"Female",97.6208528943355,1.73100026788332,0.648146837781135,0.000914149586686961,0.00849413664543799,100
37,2018,"Male",55.4789,34.247,10.2741,0.0151498145968764,0.00718373951347653,100
37,2018,"Female",97.3918,1.863,0.7452,0.00087297815614749,0.00853061498758034,100
37,2019,"Male",53.97531258171,35.3596922525298,10.6649951657602,0.015867354001667,0.0071934115063109,100
37,2019,"Female",97.5690935131544,1.74508147884648,0.685825007999164,0.000898023711954983,0.00853713628695452,100
37,2020,"Male",52.4453088980646,36.4873443668443,11.0673467350911,0.0166134095439027,0.00720275130186538,100
37,2020,"Female",97.751187605143,1.6250548277045,0.623757567152486,0.000923101272474695,0.00854324389750285,100
37,2021,"Male",51.4988488439596,37.1771560671526,11.3239950888878,0.0173897293878335,0.0072117928192126,100
37,2021,"Female",97.693391686459,1.67385933042003,0.63274898312098,0.000948211137264381,0.00854896854396059,100
37,2022,"Male",50.5185806454161,37.8979293243627,11.5834900302212,0.0181982070643671,0.0072205674161426,100
37,2022,"Female",97.6370966809625,1.72060899337001,0.642294325667503,0.000973353583354022,0.00855433795902232,100
37,2023,"Male",49.5049494070677,38.6490511516925,11.8459994412399,0.0190408970685891,0.00722910426616509,100
37,2023,"Female",97.5823920362733,1.76526077540497,0.652347188321746,0.000998528868077893,0.00855937723928829,100
38,2018,"Male",56.09185,33.7755,10.13265,0.0148069414247924,0.00719219857274682,100
38,2018,"Female",97.1342,2.047,0.8188,0.000946433792778238,0.00859531999175556,100
38,2019,"Male",54.5985966540769,34.8809505820665,10.5204527638566,0.0155017362186474,0.00720203202913341,100
38,2019,"Female",97.30433985425,1.93455546084738,0.761104684902596,0.000973651312457731,0.00860196286624758,100
38,2020,"Male",53.0785986085299,36.0017191563044,10.9196822351657,0.0162235255598128,0.00721153695593523,100
38,2020,"Female",97.4790273587782,1.82023897652788,0.700733664693964,0.00100090718234876,0.00860818429924362,100
38,2021,"Male",51.5332991686659,37.1362149281461,11.330485903188,0.0169739274642712,0.00722074744882717,100
38,2021,"Female",97.658498840375,1.70385104986826,0.637650109756743,0.0010282017398372,0.00861401556537406,100
38,2022,"Male",50.5616621291207,37.8459026202681,11.5924352506111,0.0177546914405969,0.0072296950418258,100
38,2022,"Female",97.598301473591,1.75463078487978,0.647067741529256,0.00105553529816384,0.00861948489435647,100
38,2023,"Male",49.5566615512955,38.5858803359257,11.8574581127788,0.0185677122909449,0.00723840908411566,100
38,2023,"Female",97.5396032213312,1.8033751115457,0.657021667123069,0.00108290814946882,0.0086246178331386,100
39,2018,"Male",56.7048,33.304,9.9912,0.0144640682527085,0.00720065763201712,100
39,2018,"Female",96.8766,2.231,0.8924,0.00101988942940899,0.00866002499593078,100
39,2019,"Male",55.2223289372841,34.4017688299159,10.3759022328,0.0151361184356279,0.00721065255195593,100
39,2019,"Female",97.0396251586855,2.12396662332732,0.836408217987209,0.00104927891296048,0.00866678944554065,100
39,2020,"Male",53.7128149257296,35.5151870462331,10.7719980280374,0.0158336415757229,0.00722032261000508,100
39,2020,"Female",97.2069472416162,2.01529506353712,0.777757694846679,0.00107871309222282,0.0086731247009844,100
39,2021,"Male",52.1776463258435,36.6427121172395,11.179641556917,0.0165581255407089,0.00722970207844175,100
39,2021,"Female",97.3787992532502,1.9047875151793,0.716413231570476,0.00110819234241002,0.00867906258678753,100
39,2022,"Male",50.6183413430103,37.7826892448635,11.5989694121262,0.0173111758168268,0.00723882266750899,100
39,2022,"Female",97.5554168476833,1.79224672417339,0.652336428143316,0.00113771701297365,0.00868463182969062,100
39,2023,"Male",49.6228477337552,38.5107728903105,11.8663793759342,0.0180945275133007,0.00724771390206622,100
39,2023,"Female",97.4926114775509,1.845187760962,0.662200761487104,0.00116728743085976,0.0086898584269889,100
40,2018,"Male",57.31775,32.8325,9.84975,0.0141211950806246,0.00720911669128741,100
40,2018,"Female",96.619,2.415,0.966,0.00109334506603973,0.00872473000010601,100
40,2019,"Male",55.8465094313314,33.9221469960782,10.2313435725903,0.0147705006526084,0.00721927307477844,100
40,2019,"Female",96.7749494264607,2.31331496628631,0.911735607253001,0.00112490651346323,0.00873161602483372,100
40,2020,"Male",54.3479583739144,35.0277475239788,10.6242941021068,0.0154437575916331,0.00722910826407493,100
40,2020,"Female",96.9349472445624,2.21022311006555,0.854829645372056,0.00115651900209689,0.00873806510272517,100
40,2021,"Male",52.8234313930445,36.1478063573138,11.0287622496417,0.0161423236171466,0.00723865670805632,100
40,2021,"Female",97.099223247054,2.10552818611205,0.795248566833961,0.00118818294498284,0.008744109608201,100
40,2022,"Male",51.2743899165886,37.2807184314211,11.4448916519903,0.0168676601930566,0.00724795029319219,100
40,2022,"Female",97.2680097366369,1.99903465350954,0.732955609853599,0.00121989872778347,0.00874977876502477,100
40,2023,"Male",49.7024263729015,38.4247660928748,11.8728075342237,0.0176213427356565,0.00725701872001678,100
40,2023,"Female",97.4415416357847,1.89054756577267,0.667910798442617,0.00125166671225069,0.0087550990208392,100
41,2018,"Male",57.9307,32.361,9.7083,0.0138723048545392,0.00717884124849381,100
41,2018,"Female",96.3614,2.599,1.0396,0.00116169582959948,0.00878055650442091,100
41,2019,"Male",56.471138136219,33.4420850805534,10.0867767832277,0.0145043362514742,0.00718821216217594,100
41,2019,"Female",96.5103126575757,2.50260048972433,0.987086852699974,0.00119533889758875,0.00878760783582538,100
41,2020,"Male",54.9840294773351,34.5394000768901,10.4765704457749,0.0151591648318816,0.00719723761029025,100
41,2020,"Female",96.663027358522,2.40502313744646,0.93194950403152,0.00122904246491077,0.00879421569444134,100
41,2021,"Male",53.4706560419115,35.6514960163992,10.8778479416894,0.015838057137015,0.00720595050925032,100
41,2021,"Female",96.8197707934736,2.30607312802135,0.874156078505048,0.00126280700579149,0.00880041292444293,100
41,2022,"Male",51.9324237020754,36.7768165445971,11.2907597533275,0.0165423746890313,0.00721438112443119,100
41,2022,"Female",96.9807720281461,2.20555649920789,0.813671472645966,0.00129663296590805,0.00880622917423785,100
41,2023,"Male",50.3708663183067,37.9136951581505,11.7154385235428,0.0172735831879779,0.00722255743570046,100
41,2023,"Female",97.1462626066826,2.1032800371262,0.750457356191164,0.00133052076604005,0.00881169127628165,100
42,2018,"Male",58.54365,31.8895,9.56685,0.0136234146284539,0.00714856580570021,100
42,2018,"Female",96.1038,2.783,1.1132,0.00123004659315924,0.00883638300873581,100
42,2019,"Male",57.0904536479167,32.9686286183031,9.94091773378018,0.01423817185034,0.00715715124957344,100
42,2019,"Female",96.2462154703539,2.6913455368808,1.06243899276531,0.00126577128171427,0.00884359964681705,100
42,2020,"Male",55.6150828449681,34.057449739296,10.3274674157359,0.0148745720721302,0.00716536695650558,100
42,2020,"Female",96.3916973850177,2.59920735377866,1.00909526120362,0.00130156592772465,0.00885036628615751,100
42,2021,"Male",54.1131892768497,35.1613510698022,10.7254596533481,0.0155337906568833,0.00717324431044432,100
42,2021,"Female",96.5409606103727,2.50592468889344,0.953114700733888,0.00133743106660014,0.00885671624068486,100
42,2022,"Male",52.5861244147979,36.2788241635943,11.1350514216078,0.016217089185006,0.0071808119556702,100
42,2022,"Female",96.6942310869111,2.41130502612593,0.894463886962955,0.00137336720403264,0.00886267958345092,100
42,2023,"Male",51.0353646611043,37.4082529157727,11.5563824231231,0.0169258236402992,0.00718809615138413,100
42,2023,"Female",96.8517370970561,2.31515674733452,0.833106155609382,0.00140937481982942,0.00886828353172409,100
43,2018,"Male",59.1566,31.418,9.4254,0.0133745244023685,0.00711829036290662,100
43,2018,"Female",95.8462,2.967,1.1868,0.00129839735671899,0.00889220951305071,100
43,2019,"Male",57.7100954505538,32.4948165746729,9.79508797477327,0.0139720074492058,0.00712609033697093,100
43,2019,"Female",95.9821545698964,2.88003369228652,1.13781173781709,0.00133620366583978,0.00889959145780871,100
43,2020,"Male",56.2412575805002,33.5815923636167,10.1771500558831,0.0145899793123787,0.0071334963027209,100
43,2020,"Female",96.1209446756252,2.79279693780545,1.08625838656932,0.00137408939053854,0.00890651687787367,100
43,2021,"Male",54.7511697906891,34.6770603860043,10.5717698233066,0.0152295241767517,0.00714053811163832,100
43,2021,"Female",96.2627801343727,2.70510416244058,1.03211570318674,0.00141205512740879,0.00891301955692679,100
43,2022,"Male",53.2356308602619,35.7864224362504,10.9779467034877,0.0158918036809807,0.00714724278690921,100
43,2022,"Female",96.4083744212246,2.61630167046361,0.975323908311809,0.00145010144215722,0.008919129992664,100
43,2023,"Male",51.6960609470262,36.908111955019,11.3958270979549,0.0165780640926206,0.00715363486706781,100
43,2023,"Female",96.5579526723944,2.52619930398943,0.915848023616111,0.00148822887361878,0.00892487578716653,100
44,2018,"Male",59.76955,30.9465,9.28395,0.0131256341762832,0.00708801492011302,100
44,2018,"Female",95.5886,3.151,1.2604,0.00136674812027874,0.00894803601736561,100
44,2019,"Male",58.3300635441303,32.0206489496627,9.64928750620695,0.0137058430480716,0.00709502942436843,100
44,2019,"Female",95.7181299562032,3.06866495594149,1.21320508785532,0.0014066360499653,0.00895558326880038,100
44,2020,"Male",56.8681063518149,33.1050040195188,10.0268896286663,0.0143053865526273,0.00710162564893623,100
44,2020,"Female",95.8502665096209,2.98627068387285,1.16346280650629,0.00144661285335242,0.00896266746958984,100
44,2021,"Male",55.384729988447,34.198329315548,10.416940696005,0.0149252576966201,0.00710783191283232,100
44,2021,"Female",95.9852166028446,2.90363275686085,1.11115064029451,0.00148667918821744,0.00896932287316872,100
44,2022,"Male",53.8810749490714,35.2993098579069,10.8196151930217,0.0155665181769554,0.00711367361814821,100
44,2022,"Female",96.1231893380738,2.82056778307099,1.05624287885525,0.00152683568028181,0.00897558040187708,100
44,2023,"Male",52.3530871598494,36.4129631373553,11.2339497027953,0.0162303045449419,0.00711917358275148,100
44,2023,"Female",96.2648966947523,2.73642922950529,0.998674075742453,0.00156708292740815,0.00898146804260898,100
45,2018,"Male",60.3825,30.475,9.1425,0.0128767439501978,0.00705773947731942,100
45,2018,"Female",95.331,3.335,1.334,0.00143509888383849,0.00900386252168051,100
45,2019,"Male",58.9503579286461,31.5461257432727,9.50351632808122,0.0134396786469374,0.00706396851176593,100
45,2019,"Female",95.4541416292743,3.25723932784572,1.28861904287999,0.00147706843409082,0.00901157507979205,100
45,2020,"Male",57.4956294374922,32.6276843944243,9.87668616808346,0.0140207937928759,0.00706975499515156,100
